keyword,competition level,cpc,search volume,low top of page bid,high top of page bid,search volume trend monthly,search volume trend quarterly,search volume trend yearly,match type,cpc min,cpc max,cpc average,daily impressions min,daily impressions max,daily impressions average,daily clicks min,daily clicks max,daily clicks average,daily cost min,daily cost max,daily cost average,search intent info main intent
bath and body works,HIGH,0.19,5000000,0.7,2.89,83,83,-18,exact,332.88,406.86,369.87,107182.77,131001.16,119091.96,6771.87,8276.73,7524.3,2504714.09,3061317.63,2783015.86,commercial
essential oils,HIGH,2.12,135000,0.6,2.86,0,0,0,exact,277.55,339.23,308.39,3035.74,3710.35,3373.04,114.11,139.47,126.79,35191.99,43012.43,39102.21,commercial
oil diffusers,HIGH,2.41,33100,0.65,4.16,22,22,0,exact,178.72,218.43,198.57,99.65,121.8,110.72,5.41,6.62,6.01,1074.96,1313.84,1194.4,commercial
febreze plug in,HIGH,0.82,33100,0.38,0.91,0,-18,22,exact,86.22,105.38,95.8,45.22,55.27,50.24,4.12,5.04,4.58,395.12,482.93,439.02,transactional
airwick,HIGH,1.79,27100,0.37,4.88,0,0,0,exact,288.24,352.29,320.26,173.94,212.6,193.27,13.98,17.09,15.53,4477.49,5472.48,4974.99,commercial
air wick,HIGH,1.79,27100,0.37,4.88,0,0,0,exact,233.65,285.58,259.62,424.63,518.99,471.81,28.9,35.33,32.12,7504.1,9171.67,8337.88,transactional
reed diffuser,HIGH,2.43,27100,0.39,2.77,22,0,0,exact,205.17,250.76,227.97,283.39,346.37,314.88,13.01,15.9,14.46,2965.89,3624.98,3295.43,transactional
airwick essential mist,HIGH,2.45,18100,0.38,4.41,-33,-18,0,exact,217.96,266.39,242.18,104.89,128.19,116.54,8.5,10.39,9.45,2059.58,2517.27,2288.43,transactional
air wick essential mist,HIGH,2.45,18100,0.38,4.41,-33,-18,0,exact,216,264,240,291.39,356.14,323.76,22.03,26.92,24.48,5286.65,6461.46,5874.05,transactional
glade plug in,HIGH,1.02,18100,0.33,0.63,0,0,0,exact,68.72,84,76.36,144.3,176.37,160.34,7.44,9.1,8.27,568.5,694.84,631.67,transactional
